gname	eventid	iyear	imonth	iday	country_txt	region_txt	latitude	longitude	crit1	crit2	crit3	doubtterr	alternative_txt	success	suicide	attacktype1_txt	targtype1_txt	natlty1_txt	nperps	nperpcap	weaptype1_txt	nkill	nkillus	nkillter	nwound	nwoundus	nwoundte	property	propvalue	ishostkid	nhostkid	ransom	galias
Shining Path (SL)	198308070001	1983	8	7	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Telecommunication	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198203010008	1982	3	1	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Police	Peru	60	NA	Firearms	14	NA	7	NA	NA	NA	1	NA	1	270	0	SL
Shining Path (SL)	198601170003	1986	1	17	Peru	South America	NA	NA	1	1	1	-9	NA	0	0	Bombing/Explosion	Utilities	Peru	NA	NA	Explosives/Bombs/Dynamite	0	0	NA	0	0	NA	0	NA	0	NA	0	SL
Shining Path (SL)	198501020019	1985	1	2	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Private Citizens & Property	Peru	100	NA	Firearms	21	NA	NA	0	NA	NA	1	20000	1	0	0	SL
Shining Path (SL)	198408080015	1984	8	8	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Private Citizens & Property	Peru	NA	NA	Firearms	26	NA	NA	0	NA	NA	1	NA	1	0	0	SL
Shining Path (SL)	199207280005	1992	7	28	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Transportation	Peru	NA	NA	Incendiary	0	NA	NA	0	NA	NA	1	20000	0	NA	0	SL
Shining Path (SL)	198312120017	1983	12	12	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Private Citizens & Property	Peru	NA	NA	Firearms	8	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198311250007	1983	11	25	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Police	Peru	15	NA	Firearms	9	NA	6	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198910300009	1989	10	30	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Assassination	Government (General)	Peru	NA	NA	Explosives/Bombs/Dynamite	0	0	NA	0	0	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198407170004	1984	7	17	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198606190011	1986	6	19	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	4000	0	NA	0	SL
Shining Path (SL)	198407170006	1984	7	17	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198209010011	1982	9	1	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Utilities	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	45000	0	NA	0	SL
Shining Path (SL)	198312150010	1983	12	15	Peru	South America	NA	NA	1	1	0	-9	NA	1	0	Armed Assault	Military	Peru	NA	NA	Firearms	20	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198312150011	1983	12	15	Peru	South America	NA	NA	1	1	0	-9	NA	1	0	Armed Assault	Military	Peru	NA	NA	Firearms	60	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198207240007	1982	7	24	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Business	Peru	7	NA	Firearms	NA	NA	NA	NA	NA	NA	1	225700	1	0	0	SL
Shining Path (SL)	198212010007	1982	12	1	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Private Citizens & Property	Peru	22	NA	Firearms	2	NA	NA	0	NA	NA	1	30000	1	0	0	SL
Shining Path (SL)	199110020003	1991	10	2	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Educational Institution	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198704020004	1987	4	2	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	United States	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198301040012	1983	1	4	Peru	South America	NA	NA	1	1	0	-9	NA	1	0	Armed Assault	Military	Peru	NA	NA	Firearms	17	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198209060004	1982	9	6	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Facility/Infrastructure Attack	Business	Peru	NA	NA	Incendiary	0	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198711020009	1987	11	2	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Tourists	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198207270001	1982	7	27	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Government (Diplomatic)	Great Britain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	2	NA	NA	1	5000	0	NA	0	SL
Shining Path (SL)	198305040008	1983	5	4	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Police	Peru	NA	NA	Firearms	8	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198104230006	1981	4	23	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Government (General)	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198501280014	1985	1	28	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198605150006	1986	5	15	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Police	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	3	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198301050015	1983	1	5	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Business	Peru	NA	NA	Firearms	NA	NA	NA	NA	NA	NA	1	10000	0	NA	0	SL
Shining Path (SL)	198808180006	1988	8	18	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Private Citizens & Property	Peru	NA	NA	Firearms	8	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198311100001	1983	11	10	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Utilities	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	2	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198207290005	1982	7	29	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Transportation	Peru	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	NA	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198405010004	1984	5	1	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Bombing/Explosion	Police	Peru	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	SL
Shining Path (SL)	198212030009	1982	12	3	Peru	South America	NA	NA	1	1	1	-9	NA	1	0	Armed Assault	Private Citizens & Property	Peru	NA	NA	Firearms	NA	NA	NA	NA	NA	NA	1	NA	1	0	0	SL
